Category,Value,Count
Fifth less deprived decile (IMD2019),10.436875183418334,1516.0
Fifth more deprived decile (IMD2019),10.12311039975701,1391.6666666666667
Fourth less deprived decile (IMD2019),9.574243940074558,1542.3333333333333
Fourth more deprived decile (IMD2019),10.696121020402932,1448.3333333333333
Least deprived decile (IMD2019),8.37875533825189,1016.6666666666666
Most deprived decile (IMD2019),11.547474558724767,1799.6666666666667
Second least deprived decile (IMD2019),9.060620854965483,1398.6666666666667
Second most deprived decile (IMD2019),11.066276441788501,1670.6666666666667
Third less deprived decile (IMD2019),9.287438064382476,1399.6666666666667
Third more deprived decile (IMD2019),10.59723332928617,1604.3333333333333
